length general mean,length general var,length IG mean,length IG var,length IF mean,length IF var,lexical general mean,lexical general var,lexical IG mean,lexical IG var,lexical IF mean,lexical IF var,form general mean,form general var,form IG mean,form IG var,form IF mean,form IF var,success,confidence,language,move ID
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,german,"FTT_2006-06-22pair2_refexps.p(3708, 3753)"
0.218,0.0,0.272,0.0,0.272,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.8,0.0,0.75,0.0,1.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(1438, 1484)"
-0.275,0.076,-0.5,0.0,-0.25,0.063,0.5,0.25,0.0,0.0,1.0,0.0,0.667,0.111,0.0,0.0,0.75,0.063,-1,1,german,"FTT_2006-06-22pair2_refexps.p(3464, 3707)"
0.023,0.05,0.023,0.05,nan,nan,0.333,0.222,0.333,0.222,nan,nan,0.667,0.167,0.667,0.167,nan,nan,0,2,german,"FTT_2006-03-27Pair1_refexps.p(1788, 1887)"
-0.031,0.001,-0.069,0.002,-0.106,0.0,0.556,0.049,0.556,0.049,nan,nan,0.347,0.107,0.36,0.102,0.0,0.0,0,2,german,"FTT_2006-03-27Pair1_refexps.p(601, 695)"
0.479,0.001,0.458,0.005,0.333,0.0,0.0,0.0,nan,nan,0.0,0.0,0.125,0.047,0.0,0.0,1.0,0.0,1,4,german,"FTT_2006-03-27Pair1_refexps.p(2505, 2552)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,german,"FTT_2006-06-22pair2_refexps.p(4715, 4731)"
-0.471,0.05,-0.343,0.198,0.429,0.0,0.383,0.001,0.4,0.0,0.0,0.0,0.875,0.047,1.0,0.0,0.0,0.0,1,4,german,"FTT_2006-03-28pair2_refexps.p(226, 275)"
0.003,0.0,0.049,0.001,0.039,0.001,0.571,0.0,0.667,0.0,0.5,0.0,0.867,0.009,0.4,0.04,0.927,0.001,1,1,german,"FTT_2006-06-22pair2_refexps.p(3965, 4714)"
-0.4,0.0,-0.4,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.333,0.222,0.333,0.222,nan,nan,1,4,german,"FTT_2006-06-22pair2_refexps.p(5602, 5639)"
0.399,0.011,0.191,0.002,0.161,0.0,0.089,0.004,0.0,0.0,0.143,0.0,0.689,0.0,0.778,0.006,0.5,0.0,1,4,german,"FTT_2006-03-28pair2_refexps.p(3234, 3399)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3,german,"FTT_2006-03-27Pair1_refexps.p(1711, 1749)"
0.333,0.0,0.333,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0,3,german,"FTT_2006-03-28pair2_refexps.p(2128, 2155)"
-0.5,0.0,-0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0,2,german,"FTT_2006-03-27Pair1_refexps.p(3444, 3495)"
0.238,0.01,0.246,0.014,0.195,0.013,1.0,0.0,1.0,0.0,1.0,0.0,0.917,0.014,0.889,0.025,1.0,0.0,0,2,german,"FTT_2006-06-22pair1_refexps.p(550, 686)"
-0.714,0.0,-0.714,0.0,-0.714,0.0,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,0.0,0.0,1,4,german,"FTT_2006-06-22pair1_refexps.p(5068, 5100)"
0.25,0.0,0.25,0.0,nan,nan,1.0,0.0,1.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0,2,german,"FTT_2006-03-27Pair1_refexps.p(2815, 2842)"
0.088,0.001,0.068,0.004,-0.024,0.0,0.074,0.011,0.0,0.0,0.667,0.0,0.133,0.036,0.111,0.025,0.5,0.0,0,2,german,"FTT_2006-03-27Pair1_refexps.p(1519, 1710)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-03-27Pair1_refexps.p(3534, 3567)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,4,german,"FTT_2006-03-27Pair1_refexps.p(704, 730)"
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nan,nan,1.0,0.0,1.0,0.0,nan,nan,1.0,0.0,1,4,german,"FTT_2006-03-28pair2_refexps.p(1485, 1554)"
0.002,0.004,0.055,0.011,0.127,0.0,0.578,0.004,0.667,0.0,0.444,0.0,0.881,0.004,0.903,0.005,0.8,0.0,1,4,german,"FTT_2006-06-22pair1_refexps.p(4292, 4878)"
-0.3,0.09,-0.3,0.09,nan,nan,0.25,0.0,0.25,0.0,nan,nan,0.5,0.25,0.5,0.25,nan,nan,0,3,german,"FTT_2006-03-28pair2_refexps.p(3022, 3063)"
-0.007,0.08,0.156,0.04,0.011,0.119,0.528,0.029,0.75,0.0,0.417,0.007,0.333,0.056,0.5,0.0,0.25,0.063,0,2,german,"FTT_2006-03-27Pair1_refexps.p(2843, 2973)"
0.5,0.0,0.5,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,1.0,0.0,0,3,german,"FTT_2006-06-22pair1_refexps.p(3286, 3306)"
0.762,0.005,0.752,0.007,0.67,0.0,1.0,0.0,nan,nan,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(2755, 2812)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3,german,"FTT_2006-03-28pair2_refexps.p(2813, 2824)"
0.194,0.0,0.292,0.0,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.5,0.0,1,4,german,"FTT_2006-03-27Pair1_refexps.p(1888, 2021)"
0.212,0.0,0.212,0.0,nan,nan,0.167,0.0,0.167,0.0,nan,nan,0.5,0.0,0.5,0.0,nan,nan,-1,4,german,"FTT_2006-06-22pair1_refexps.p(393, 504)"
0.115,0.02,0.08,0.003,0.06,0.004,0.8,0.06,0.667,0.056,0.75,0.063,0.947,0.004,0.944,0.002,0.833,0.028,-1,2,german,"FTT_2006-06-22pair1_refexps.p(2381, 2763)"
0.071,0.013,0.073,0.008,0.052,0.003,0.476,0.122,0.393,0.176,0.533,0.16,0.742,0.106,0.808,0.107,0.694,0.161,0,2,german,"FTT_2006-06-22pair1_refexps.p(922, 1299)"
0.267,0.0,0.267,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.0,0.5,0.0,nan,nan,1,4,german,"FTT_2006-06-22pair1_refexps.p(168, 191)"
0.5,0.0,0.5,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,1,4,german,"FTT_2006-03-28pair2_refexps.p(3064, 3100)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,german,"FTT_2006-03-28pair2_refexps.p(2825, 2867)"
0.07,0.0,0.075,0.0,0.083,0.0,0.436,0.0,0.455,0.0,0.364,0.0,0.961,0.0,0.952,0.0,1.0,0.0,-1,1,german,"FTT_2006-06-22pair2_refexps.p(1, 1621)"
0.14,0.005,0.108,0.004,0.118,0.001,0.623,0.047,0.681,0.027,0.25,0.188,0.858,0.01,0.833,0.014,1.0,0.0,0,2,german,"FTT_2006-06-22pair1_refexps.p(3394, 3671)"
0.084,0.0,0.084,0.0,nan,nan,0.333,0.0,0.333,0.0,nan,nan,1.0,0.0,1.0,0.0,nan,nan,1,4,german,"FTT_2006-03-28pair2_refexps.p(3441, 3556)"
0.261,0.0,0.261,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.5,0.0,0.5,0.0,nan,nan,1,4,german,"FTT_2006-03-28pair2_refexps.p(454, 526)"
0.125,0.0,0.31,0.0,0.31,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0,3,german,"FTT_2006-06-22pair1_refexps.p(1521, 1580)"
