length general mean,length general var,length IG mean,length IG var,length IF mean,length IF var,lexical general mean,lexical general var,lexical IG mean,lexical IG var,lexical IF mean,lexical IF var,form general mean,form general var,form IG mean,form IG var,form IF mean,form IF var,success,confidence,language,move ID
-0.019,0.0,0.003,0.003,0.091,0.0,0.375,0.047,0.375,0.047,nan,nan,0.762,0.0,0.75,0.0,1.0,0.0,1,4,english,"20070201_run3pento_nonoise_refexps.p(923, 997)"
0.145,0.156,0.145,0.156,0.145,0.156,0.111,0.012,nan,nan,0.111,0.012,0.333,0.056,nan,nan,0.333,0.056,1,4,english,"20070201_run3pento_nonoise_refexps.p(530, 853)"
0.105,0.0,0.149,0.0,0.149,0.0,0.333,0.0,0.2,0.0,1.0,0.0,0.667,0.0,0.6,0.0,1.0,0.0,0,2,english,"20070201_run1pento_nonoise_refexps.p(596, 657)"
-0.333,0.0,-0.333,0.0,-0.333,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,1,4,english,"20070201_run1pento_nonoise_refexps.p(2543, 2563)"
0.187,0.022,0.15,0.012,0.25,0.0,0.25,0.063,0.25,0.063,nan,nan,0.889,0.025,0.833,0.056,1.0,0.0,1,4,english,"20061123_pento_nonoise_refexps.p(3711, 3753)"
0.171,0.057,0.222,0.081,0.482,0.0,0.608,0.005,0.575,0.002,0.75,0.0,0.857,0.02,1.0,0.0,0.6,0.0,1,4,english,"20061123_pento_nonoise_refexps.p(3167, 3328)"
-0.03,0.092,-0.03,0.092,nan,nan,0.5,0.25,0.5,0.25,nan,nan,0.5,0.25,0.5,0.25,nan,nan,1,4,english,"20061123_pento_nonoise_refexps.p(826, 894)"
0.119,0.014,0.111,0.009,0.142,0.016,0.634,0.033,0.603,0.02,0.697,0.046,0.903,0.017,0.914,0.02,0.926,0.011,1,4,english,"20061123_pento_nonoise_refexps.p(2083, 3007)"
0.21,0.003,0.22,0.002,0.257,0.003,0.0,0.0,0.0,0.0,nan,nan,0.771,0.019,0.667,0.0,1.0,0.0,1,4,english,"20061123_pento_nonoise_refexps.p(3008, 3166)"
0.009,0.0,0.017,0.0,0.017,0.0,0.2,0.0,0.222,0.0,0.0,0.0,0.75,0.0,0.714,0.0,1.0,0.0,1,4,english,"20070201_run3pento_nonoise_refexps.p(375, 461)"
0.134,0.063,0.081,0.051,0.081,0.051,0.265,0.0,0.244,0.004,0.667,0.222,0.717,0.028,0.75,0.063,0.875,0.047,1,4,english,"20070201_run1pento_nonoise_refexps.p(2115, 2406)"
-0.158,0.001,-0.08,0.056,-0.058,0.067,0.326,0.007,0.358,0.002,0.125,0.016,0.758,0.004,0.84,0.006,0.292,0.089,1,4,english,"20070201_run4pento_nonoise_refexps.p(23, 287)"
0.246,0.0,0.246,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.778,0.0,0.778,0.0,nan,nan,1,4,english,"20070201_run3pento_nonoise_refexps.p(462, 529)"
0.377,0.0,0.39,0.0,0.389,0.0,0.615,0.0,0.625,0.0,0.5,0.0,0.7,0.002,0.711,0.003,0.667,0.0,1,4,english,"20070201_run3pento_nonoise_refexps.p(18, 224)"
0.168,0.069,0.224,0.088,0.465,0.02,0.358,0.143,0.358,0.143,nan,nan,0.736,0.118,0.752,0.126,0.833,0.014,-1,4,english,"20070201_run1pento_nonoise_refexps.p(252, 595)"
-0.195,0.062,0.013,0.0,-0.333,0.056,0.286,0.082,0.571,0.0,0.0,0.0,0.92,0.01,0.8,0.0,1.0,0.0,1,4,english,"20070201_run1pento_nonoise_refexps.p(2407, 2542)"
0.072,0.09,0.071,0.087,0.071,0.087,0.161,0.042,0.286,0.0,0.125,0.047,0.582,0.167,0.625,0.085,0.625,0.172,1,4,english,"20070201_run4pento_nonoise_refexps.p(1002, 1299)"
0.055,0.0,-0.091,0.0,-0.091,0.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,4,english,"20070201_run1pento_nonoise_refexps.p(2593, 2616)"
0.089,0.0,nan,nan,0.089,0.0,0.5,0.0,nan,nan,0.5,0.0,0.333,0.0,nan,nan,0.333,0.0,1,4,english,"20070201_run4pento_nonoise_refexps.p(1514, 1562)"
0.125,0.0,nan,nan,0.125,0.0,0.75,0.0,nan,nan,0.75,0.0,0.75,0.0,nan,nan,0.75,0.0,1,4,english,"20061123_pento_nonoise_refexps.p(3812, 3908)"
0.028,0.005,-0.001,0.005,0.014,0.006,0.371,0.13,0.443,0.127,0.333,0.222,0.874,0.033,0.856,0.035,0.889,0.025,1,4,german,"FTT_2006-06-22pair1_refexps.p(2820, 3210)"
0.349,0.0,0.556,0.0,0.556,0.0,0.5,0.0,0.5,0.0,nan,nan,1.0,0.0,1.0,0.0,1.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(2905, 2931)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,german,"FTT_2006-03-27Pair1_refexps.p(3427, 3443)"
-0.316,0.05,-0.138,0.107,0.111,0.0,0.41,0.016,0.517,0.001,0.0,0.0,0.75,0.063,1.0,0.0,0.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(527, 892)"
0.121,0.001,0.173,0.006,0.25,0.0,0.5,0.0,0.5,0.0,nan,nan,0.583,0.007,0.5,0.0,1.0,0.0,0,3,german,"FTT_2006-03-28pair2_refexps.p(2567, 2617)"
-0.069,0.052,0.063,0.207,0.852,0.0,0.556,0.0,0.556,0.0,nan,nan,0.875,0.047,1.0,0.0,0.0,0.0,-1,4,german,"FTT_2006-06-22pair1_refexps.p(1, 167)"
0.19,0.009,0.217,0.006,0.19,0.0,0.531,0.055,0.543,0.052,0.333,0.0,0.835,0.008,0.861,0.009,0.5,0.0,1,4,german,"FTT_2006-03-27Pair1_refexps.p(411, 600)"
-0.011,0.0,-0.038,0.004,-0.151,0.0,0.475,0.002,0.458,0.005,0.5,0.0,0.95,0.007,1.0,0.0,0.5,0.0,0,3,german,"FTT_2006-03-27Pair1_refexps.p(2974, 3031)"
0.183,0.034,0.183,0.034,0.366,0.0,0.417,0.007,0.5,0.0,0.333,0.0,0.75,0.063,1.0,0.0,0.5,0.0,-1,4,german,"FTT_2006-06-22pair1_refexps.p(261, 332)"
-0.063,0.039,-0.058,0.042,0.054,0.021,0.275,0.027,0.247,0.022,0.375,0.172,0.865,0.032,0.945,0.005,0.792,0.047,-1,4,german,"FTT_2006-03-28pair2_refexps.p(940, 1355)"
0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.016,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(2618, 2680)"
0.108,0.095,0.067,0.071,0.333,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,1.0,0.0,1.0,0.0,1,4,german,"FTT_2006-06-22pair1_refexps.p(505, 549)"
0.117,0.0,0.153,0.007,0.32,0.0,0.88,0.058,1.0,0.0,0.25,0.0,0.743,0.0,0.8,0.01,0.333,0.0,1,4,german,"FTT_2006-03-27Pair1_refexps.p(760, 945)"
